shi_en,shi_ar,shi_lat,shi_lon,dis_en,dis_ar,slug,dis_lat,dis_lon,gov_en,gov_ar
Abu Hur,أبوهور,24.645,32.942,Nasr,مركز نصر,nasr-eg2805,24.373,32.932,Aswan,أسوان
Abu Yasin,أبوياسين,30.71,31.633,Abu Kabir,مركز أبوكبير,abu-kabir-eg1305,30.733,31.69,Sharkia,الشرقية
Abu Yahya,أبويحيي,31.024,30.589,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Abwan,أبوان,28.397,30.723,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Abu Stail,ابوسطيل,31.58,26.008,Sidi Barani,قسم سيدى برانى,sidi-barani-eg3305,30.656,25.886,Matrouh,مطروح
Abu Sunbul,أبوسنبل,24.438,33.021,Nasr,مركز نصر,nasr-eg2805,24.373,32.932,Aswan,أسوان
Abwit,أبويط,29.324,31.14,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Abirmad,أبيرماد,23.452,35.442,Shallatin,قسم شلاتين,shallatin-eg3106,23.079,34.574,Red Sea,البحر الأحمر
Ibya Al-Hamra,ابيا الحمراء,30.857,30.548,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Abyar,أبيار,30.845,30.852,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Abyana,أبيانة,31.325,30.528,Mitubas,مركز مطوبس,mitubas-eg1510,31.383,30.47,Kafr El-Shikh,كفر الشيخ
Abij,أبيج,30.886,30.773,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Abis 7_8_9_10,ابيس 7_8_9_10,31.183,29.949,Muharam Bik,قسم محرم بك,muharam-bik-eg0205,31.184,29.939,Alexandria,الاسكندرية
Abis wa Khurshid,أبيس وخورشيد,31.198,29.996,Kesm than Al Raml,قسم ثان الرمل,kesm-than-al-raml-eg0217,31.211,29.994,Alexandria,الاسكندرية
Abis 1,أبيس 1,31.171,30.003,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abis 3,أبيس 3,31.151,30.002,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abis 4,أبيس 4,31.131,29.998,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abis 5,أبيس 5,31.11,29.986,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abis 6,أبيس 6,31.088,29.972,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abis El-Mostagadda,أبيس المستجدة,31.138,30.058,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Abyouqa,أبيوقا,31.167,30.731,Disuq,مركز دسوق,disuq-eg1506,31.15,30.72,Kafr El-Shikh,كفر الشيخ
Abyouqa,أبيوقا,30.797,30.606,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Abyouha,أبيوها,27.979,30.814,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Atrees,أتريس,30.325,30.878,Imbaba,مركز إمبابة,imbaba-eg2113,30.22,30.963,Giza,الجيزة
Atqa,أتقا,27.8,30.759,Markz Mallawi,مركز ملوى,markz-mallawi-eg2412,27.775,30.801,Menia,المنيا
Atdelim,أتليدم,27.882,30.782,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Atmeeda,أتميدة,30.759,31.349,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Athar El-Nabi,أثر النبي,29.992,31.242,Misr Al-Qadima,مصرالقديمة,misr-al-qadima-eg0106,30.006,31.242,Cairo,القاهرة
Athariyat Fadel,أثرياتفاضل,30.932,30.539,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Agehour El-Raml,أجهور الرمل,30.501,31.152,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Agehour El-Soghra,أجهور الصغري,30.264,31.146,Qanatir Al-Khayriyya,مركز القناطر الخيرية,qanatir-al-khayriyya-eg1404,30.214,31.135,Kalyoubia,القليوبية
Agehour El-Kobra,أجهور الكبري,30.296,31.149,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
Ahmed El-Mansy,احمد المنسي,30.998,31.151,El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,el-mahalla-el-kobra-2-eg1606,30.971,31.157,Gharbia,الغربية
Ahmed Badawy,احمد بدوى,30.66,29.95,Nubariyya West,قسم غرب النوبارية,nubariyya-west-eg1817,30.425,29.897,Behera,البحيرة
Ahmed Ramy,أحمد رامى,30.723,30.53,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Ahmed Shawqy,أحمد شوقى,30.727,30.277,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Ahmed Oraby,أحمد عرابى,30.423,30.678,Badr,مركز بدر,badr-eg1818,30.547,30.679,Behera,البحيرة
Akhtab,أخطاب,30.841,31.318,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Akhnawy El-Zallaqa,أخناوي الزلاقة,30.807,31.042,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Adrasia,ادراسية,29.11,30.915,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Adreega,أدريجة,31.2,30.965,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Adshay,ادشاي,30.775,30.886,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Adfa,أدفا,26.573,31.636,Suhag,مركز سوهاج,suhag-eg2603,26.547,31.655,Suhag,سوهاج
Edfu Qebly,ادفو قبلى,24.928,32.848,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
Edfeena,أدفينا,31.294,30.51,Rashid,مركز رشيد,rashid-eg1809,31.379,30.375,Behera,البحيرة
Adqaq El-Mesk,أدقاق المسك,28.416,30.752,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Adam,أدم,30.224,29.787,Nubariyya West,قسم غرب النوبارية,nubariyya-west-eg1817,30.425,29.897,Behera,البحيرة
Admo,أدمو,28.142,30.65,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
Adandan,أدندان,24.4,32.969,Nasr,مركز نصر,nasr-eg2805,24.373,32.932,Aswan,أسوان
Adandan,أدندان,22.446,32.365,Abu Simbel,مركز أبوسنبل,abu-simbel-eg2807,22.624,32.599,Aswan,أسوان
Ard El-Lewaa,أرض اللواء,30.055,31.188,Kardasa,مركز كرداسة,kardasa-eg2120,30.051,31.134,Giza,الجيزة
Arqitous El-Hamad,أرقيطوسيلحمد,31.085,25.266,Salloum,قسم السلوم,salloum-eg3303,30.646,25.255,Matrouh,مطروح
Armania,أرمانية,30.942,30.694,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Armana,ارمنا,24.514,33.048,Nasr,مركز نصر,nasr-eg2805,24.373,32.932,Aswan,أسوان
Arymoun,أريمون,31.198,30.899,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Ishaqa,إسحاقة,31.126,31.001,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Asdeema,أسديمة,30.896,30.838,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Asreega,أسريجة,30.411,31.083,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Astal,أسط ال,28.381,30.67,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Astonha,أسطنها,30.468,31.117,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Asaad,آسعد,30.097,31.246,Al Sahil,قسم الساحل,al-sahil-eg0121,30.092,31.247,Cairo,القاهرة
Iskan Mubarak Lel-Shabab,اسكان مبارك للشباب,29.986,31.421,New Cairo-3,قسم ثالث القاهرة الجديدة,new-cairo-3-eg0139,29.978,31.456,Cairo,القاهرة
Askar,أسكر,29.539,31.297,Saf,مركز الصف,saf-eg2111,29.62,31.305,Giza,الجيزة
Alexandria El-Gadeeda,اسكندرية الجديدة,31.116,31.828,Manzala,مركز المنزلة,manzala-eg1207,31.153,31.958,Dakahlia,الدقهلية
Asla,أسلا,28.329,33.872,Al-Tur,قسم الطور,al-tur-eg3501,28.365,33.753,South Sinai,جنوب سيناء
Ismania,إسمانية,30.952,30.708,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Asmant,أسمنت,27.904,30.691,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Asmant,أسمنت,25.806,29.023,A-Dakhla Oasis,مركز الوحات الداخلة,a-dakhla-oasis-eg3202,24.803,27.209,New Valley,الوادى الجديد
Asmo El-Arous,أسم والعروس,27.637,30.762,Markz Dir Mawas,مركز دير مواس,markz-dir-mawas-eg2407,27.655,30.79,Menia,المنيا
Asneet,أسنيت,30.538,31.249,Kafr Shukr,مركز كفر شكر,kafr-shukr-eg1411,30.554,31.275,Kalyoubia,القليوبية
Ashrouba,أشروبة,28.512,30.703,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Ashkar,أشكر,30.751,31.821,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Ashleem,أشليم,30.523,31.121,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Ashleema,أشليمة,30.886,30.747,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Ashmant,أشمنت,29.198,31.181,Nasir,مركز ناصر,nasir-eg2209,29.187,31.078,Beni Suef,بنى سويف
Ashmoun El-Romman,أشمون الرمان,31.09,31.646,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Ashnaway,أشناواي,30.801,31.067,Santa,مركز السنطة,santa-eg1604,30.773,31.119,Gharbia,الغربية
Ashneen El-Nasara,أشنين النصاري,28.612,30.772,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Astobary,اصطباري,30.505,31.05,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,Menoufia,المنوفية
Asfoun,أصفون,25.401,32.529,Isna,مركز إسنا,isna-eg2705,25.365,32.52,Qena,قنا
Atsa,أطسا,28.219,30.737,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Atlas G,أطلس ج,30.008,31.336,Al Khalifa,قسم الخليفة,al-khalifa-eg0108,30.01,31.296,Cairo,القاهرة
Atlamees,أطلميس,30.944,30.501,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,Behera,البحيرة
Atnouh,أطنوح,31.187,27.778,Marsa Matruh,قسم مرسى مطروح,marsa-matruh-eg3301,30.022,26.997,Matrouh,مطروح
Atneya,أطنيه,28.654,30.828,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Atwab,أطواب,29.385,31.215,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Atwal El-Waqf,أعط والوقف,28.553,30.745,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Aghroumy,أغرومي,29.162,25.736,Siwa,مركز سيوة,siwa-eg3306,28.703,25.589,Matrouh,مطروح
Aftomiya El-Gharbeya,أفطمية الغربية,25.996,28.695,A-Dakhla Oasis,مركز الوحات الداخلة,a-dakhla-oasis-eg3202,24.803,27.209,New Valley,الوادى الجديد
Aftima El-Sharqeya,أفطيمة الشرقية,25.986,28.81,A-Dakhla Oasis,مركز الوحات الداخلة,a-dakhla-oasis-eg3202,24.803,27.209,New Valley,الوادى الجديد
Aftima El-Qeblya,أفطيمة القبلية,25.954,28.736,A-Dakhla Oasis,مركز الوحات الداخلة,a-dakhla-oasis-eg3202,24.803,27.209,New Valley,الوادى الجديد
Aflaqa,أفلاقة,31.075,30.505,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Afneesh,أفنيش,31.057,31.259,Nebro,مركز نبروة,nebro-eg1221,31.129,31.297,Dakahlia,الدقهلية
Afwa,أفوة,29.346,31.199,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Aqsas,أقصاص,26.671,31.628,Al-Maragha,مركز المراغة,al-maragha-eg2606,26.669,31.588,Suhag,سوهاج
Aqtya,أقطية,30.975,32.801,Rummana,قسم رمانة,rummana-eg3410,30.957,32.699,North Sinai,شمال سيناء
Aqfahass,أقفهص,28.791,30.829,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Aqlit,اقليت,24.512,32.886,Kum Umbu,مركز كوم امبو,kum-umbu-eg2804,24.48,32.947,Aswan,أسوان
Akadeemeyat El-Shorta w El-Mirage,اكاديميه الشرطه و الميراج,30.06,31.428,New Cairo-2,قسم ثان القاهرة الجديدة,new-cairo-2-eg0138,30.074,31.582,Cairo,القاهرة
Akrash,أكراش,30.761,31.517,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Akwa,أكوة,30.702,31.47,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Akwa El-Hessa,أكوة الحصة,30.74,30.838,Kafr Al-Zayyat,مركز كفر الزيات,kafr-al-zayyat-eg1612,30.807,30.835,Gharbia,الغربية
Akyad El-Bahareya,أكياد البحرية,30.731,31.902,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Akyad El-Qeblya,أكياد القبلية,30.71,31.931,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
Akyad Dagwy,أكياددجوي,30.366,31.113,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
El-Abageya,الأباجية,30.017,31.299,Al Khalifa,قسم الخليفة,al-khalifa-eg0108,30.01,31.296,Cairo,القاهرة
El-Ibrahimia,الابراهيمية,31.18,30.656,Disuq,مركز دسوق,disuq-eg1506,31.15,30.72,Kafr El-Shikh,كفر الشيخ
El-Ibrahimia,الابراهيمية,30.958,30.594,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
El-Ibrahimia El-Bahareya,الإبراهيميه البحريه,31.392,31.628,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
El-Ibrahimia El-Qeblya,الإبراهيميه القبليه,31.375,31.629,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
El-Abreeqgy,الأبريقجي,31.078,30.612,Al-Rahmaniyya,مركز الرحمانية,al-rahmaniyya-eg1815,31.106,30.584,Behera,البحيرة
El-Abtal,الأبط ال,30.826,32.328,"Qantara Sharq, al-",قسم القنطرة شرق,qantara-sharq-al-eg1908,30.603,32.55,Ismailia,الإسماعيلية
El-Abadeya El-Bahareya,الأبعادية البحرية,31.5,31.052,Al Hamul,مركز الحامول,al-hamul-eg1511,31.388,31.075,Kafr El-Shikh,كفر الشيخ
El-Abqaeen,الأبقعين,30.841,30.352,Hush Isa,مركز حوش عيسى,hush-isa-eg1808,30.891,30.346,Behera,البحيرة
El-Ablaq,الأبلق,26.991,31.351,Sidfa,مركز صدفا,sidfa-eg2511,26.943,31.38,Assiut,أسيوط
El-Abyary,الأبياري,30.342,31.232,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
El-Etihad,الاتحاد,31.131,31.831,MIt Salsil,مركز ميت سلسيل,mit-salsil-eg1217,31.233,31.792,Dakahlia,الدقهلية
El-Ataka,الأتكة,29.844,32.485,Ataqa,قسم عتاقة,ataqa-eg0403,29.539,32.128,Suez,السويس
El-Atlat,الأتلات,28.448,30.749,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
El-Ahaywa Sharq,الأحايوةشرق,26.461,31.826,Akhmim,مركز أخميم,akhmim-eg2604,26.551,31.715,Suhag,سوهاج
El-Ahaywa Gharb,الأحايوةغرب,26.448,31.801,Al Usayrat,مركز العسيرات,al-usayrat-eg2617,26.401,31.815,Suhag,سوهاج
El-Ahrar,الأحرار,24.961,32.786,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
El-Ahrar,الأحرار,31.013,32.559,Rummana,قسم رمانة,rummana-eg3410,30.957,32.699,North Sinai,شمال سيناء
El-Ahraz,الأحراز,30.705,31.614,Abu Kabir,مركز أبوكبير,abu-kabir-eg1305,30.733,31.69,Sharkia,الشرقية
El-Ahraz,الأحراز,30.34,31.307,Shibin al-Qanatir,مركز شبين القناطر,shibin-al-qanatir-eg1405,30.296,31.307,Kalyoubia,القليوبية
El-Ehsania,الاحسانية,30.673,31.561,Hihya,مركز ههيا,hihya-eg1315,30.652,31.617,Sharkia,الشرقية
El-Ahmadeya,الاحمدية,31.2,31.963,Manzala,مركز المنزلة,manzala-eg1207,31.153,31.958,Dakahlia,الدقهلية
El-Ahmadeya,الأحمدية,31.193,31.585,Shirbin,مركز شربين,shirbin-eg1210,31.261,31.576,Dakahlia,الدقهلية
El-Ahmadeen,الأحمدين,30.059,31.231,Bulaq,قسم بولاق,bulaq-eg0112,30.062,31.234,Cairo,القاهرة
El-Ahyaa,الأحياء,27.427,33.609,Hurghada 2,قسم ثان الغردقة,hurghada-2-eg3108,27.745,33.08,Red Sea,البحر الأحمر
El-Akharasa,الأخارسة,30.83,32.24,"Qantara Gharb, al-",مركز القنطرة,qantara-gharb-al-eg1906,30.742,32.245,Ismailia,الإسماعيلية
El-Ekhsas,الاخصاص,29.709,31.294,Saf,مركز الصف,saf-eg2111,29.62,31.305,Giza,الجيزة
El-Ekhsas,الاخصاص,30.191,31.092,Imbaba,مركز إمبابة,imbaba-eg2113,30.22,30.963,Giza,الجيزة
El-Ekhsas,الاخصاص,28.111,30.725,Kesm Al-minya,قسم المنيا,kesm-al-minya-eg2401,28.095,30.744,Menia,المنيا
El-Ekhsas,الأخصاص,29.391,30.9,Sinuras,مركز سنورس,sinuras-eg2305,29.441,30.815,Fayoum,الفيوم
El-Akhmas,الأخماس,30.408,30.834,Sadat City,مركز السادات,sadat-city-eg1711,30.358,30.661,Menoufia,المنوفية
El-Akhmiyeen,الأخميين,30.675,31.768,Faqus,مركز فاقوس,faqus-eg1312,30.749,31.896,Sharkia,الشرقية
El-Akhmiyeen,الأخميين,30.173,31.152,Qanatir Al-Khayriyya,مركز القناطر الخيرية,qanatir-al-khayriyya-eg1404,30.214,31.135,Kalyoubia,القليوبية
El-Akhywa,الاخيوة,30.797,31.975,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
El-Edara,الادارة,27.81,30.793,Markz Mallawi,مركز ملوى,markz-mallawi-eg2412,27.775,30.801,Menia,المنيا
El-Adabeya,الأدبية,29.793,32.437,Ataqa,قسم عتاقة,ataqa-eg0403,29.539,32.128,Suez,السويس
El-Arbaeen,الأربعين,31.249,31.718,Fariskur,مركز فارسكور,fariskur-eg1103,31.31,31.733,Damietta,دمياط
El-Azhar,الأزهر,30.047,31.262,Gamaliyya,قسم الجمالية,gamaliyya-eg0115,30.054,31.265,Cairo,القاهرة
El-Esbaeya,الأسباعية,28.817,33.977,Sant Katrin,قسم سانت كاترين,sant-katrin-eg3504,28.66,34.052,South Sinai,جنوب سيناء
El-Estad,الاستاد,30.069,31.307,Madinat Nasr-2,قسم ثانمدينةنصر,madinat-nasr-2-eg0127,30.048,31.309,Cairo,القاهرة
El-Asadeya,الأسدية,30.612,31.707,Abu Hammad,مركز أبو حماد,abu-hammad-eg1304,30.543,31.649,Sharkia,الشرقية
El-Ismailia,الاسماعيلية,30.047,31.236,Qasr Al-Nile,قسم قصر النيل,qasr-al-nile-eg0111,30.043,31.235,Cairo,القاهرة
El-Ismailia,الاسماعيلية,28.201,30.75,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
El-Ismailia Sharq? Raqm? Sabeqan?,الاسماعيليةشرق?رقم?سابقا?,30.918,32.407,"Qantara Sharq, al-",قسم القنطرة شرق,qantara-sharq-al-eg1908,30.603,32.55,Ismailia,الإسماعيلية
El-Ismailia,الإسماعيليه,31.368,31.691,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
El-Eshara,الإشارة,30.593,31.511,Zaqaziq 2,قسم ثان الزقازيق,zaqaziq-2-eg1302,30.601,31.519,Sharkia,الشرقية
El-Ashraf,الأشراف,24.935,32.804,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,Aswan,أسوان
El-Ashraf El-Bahareya,الأشراف البحرية,26.187,32.594,Qina,مركز قنا,qina-eg2702,26.163,32.578,Qena,قنا
El-Ashraf El-Sharqeya,الأشراف الشرقية,26.096,32.786,Qina,مركز قنا,qina-eg2702,26.163,32.578,Qena,قنا
El-Ashraf El-Gharbeya,الأشراف الغربية,26.081,32.778,Qina,مركز قنا,qina-eg2702,26.163,32.578,Qena,قنا
